0193772bcd447d6b86483d8abf9a42b1	BMH Panikschloss 1013 PZW Funktion E DIN Links	BMH	Dornmaß: 55 mm | Panikfunktion: Funktion E | Stulpbreite: 20 mm | Stulplänge: 235 mm | Anschlagrichtung: L | Entfernung: 72 mm | Stulpform: rund | Vierkant / Nuss: 9 mm | Lochung: Profilzylinder (PZ)
01937751fb85740c9cfcba712798f213	BMH Panikschloss 1013 PZW Funktion E DIN Rechts	BMH	Dornmaß: 55 mm | Panikfunktion: Funktion E | Stulplänge: 235 mm | Stulpbreite: 20 mm | Entfernung: 72 mm | Vierkant / Nuss: 9 mm | Stulpform: rund
0191fc31fe1872248fda1f8080ca0f92	Bodenplatte für Türpuffer, FSB 3884, schwarz	FSB	NULL
0191fc32165f706f98be9ef37b88f866	Briefkastenschloss, BK-Zylinderschloss, passend für Renz, hohe Kröpfung, inkl. 2 Schlüssel	Wilhelm Kessler	NULL
0191fc321661702897ba4d5e8c65bb28	Briefkastenschloss, Zylinderschloss, für JU, inkl. 2 Schlüssel	Euro-Locks	NULL
0191fc31fe3b72109b36266490c63435	Burg Wächter Briefkastenschloss, inkl. 2 Schlüssel, für Metallkästen, BK 92 M	Burg Wächter	NULL
0191fc31fe3771e3b88222e9fdebdeae	Burg Wächter Briefkastenschloss, inkl. 2 Schlüssel, ZBK 72	Burg Wächter	NULL
0191fc321650736fa0c9959bd2199ac2	Burg Wächter Briefkastenschloss, inkl. 2 Schlüssel, ZS 77	Burg Wächter	NULL
0191fc32165573e08056ca6adadd6fe9	Burg Wächter Briefkastenschloss, inkl. 2 Schlüssel, ZS 81	Burg Wächter	NULL
0191fc32169373bdad841bb36f803c6a	Dreikant Dornschlüssel, 10 mm	KBV	NULL
0191fc321666711bb0bc39aa82eab986	Dreikant Dornschlüssel, 6,5 mm	KBV	NULL
0191fc31fe5673a699b51a12a0cded0e	Dreikant Dornschlüssel, 7 mm	KBV	NULL
0191fc321669733b8f716e56a83f7666	Dreikant Dornschlüssel, 8 mm	KBV	NULL
0191fc32166c7064b0332a7f67587faa	Dreikant Dornschlüssel, 9 mm	KBV	NULL
0191fc31fdc0703fb96f4c72781e53a5	Edelstahl-Rundrosetten, BB-Rosettenpaar	KBV	Langschild / Rosette: Rosette
0191fc31fdc37375b76323dcc3dda610	Edelstahl-Rundrosetten, Blindrosettenpaar	KBV	Langschild / Rosette: Rosette
0191fc31fdc271bfa28c570eea08132d	Edelstahl-Rundrosetten, PZ-Rosettenpaar	KBV	Langschild / Rosette: Rosette
0191fc31fdc6714dae27802d68dee5d2	Edelstahl-Rundrosetten, WC-Rosettenpaar	KBV	Langschild / Rosette: Rosette
01947333afdf789b8da18be6907ca4a3	EDI Fenstergriff 1003/1035 "MIMAS" Aluminium F9016 verkehrsweiß 35 mm Standard 	EDI	NULL
01946f9be6e979f486027aaf9804aab0	EDI Fenstergriff 1003/2035 "MIMAS" Alu.35mm F12/verkehrsweiß	EDI	NULL
019469482eaf74a6a1ab18d02ed328cb	EDI Schutzgarnitur Logo 8745/7203 VA EST 72mm 35-45mm 	EDI	Vierkant / Nuss: 8 mm | Entfernung: 72 mm
0191fc31fbca71a6acb67bb8e775bdd6	effeff Elektro-Türöffner Modellreihe 17, 6–12 V	effeff ASSA ABLOY	NULL
0191fc321433704a8f4341af3ee88be5	effeff Elektro-Türöffner Modellreihe 19, 6–12 V, DIN rechts	effeff ASSA ABLOY	NULL
0191fc32143a712ebd1e42af55f204e5	effeff Elektro-Türöffner Modellreihe 19, 6–12 V, DIN rechts mit mechanischer Entriegelung	effeff ASSA ABLOY	NULL
0191fc3215a57148aa04f1f41701c78f	Einbausicherung 50mm Stahl 3 Schlüssel	ISEO	NULL
0191fc3215aa71efb7f8cb284f95d774	Einbausicherung 50mm Stahl 6 Schlüssel	ISEO	NULL
0191fc3215ad72bf85bbd339f17bd9a9	Einbausicherung 70 mm 3 lange Schlüssel, Profil G 20	ISEO	NULL
0191fc31fd9271e4b320a7c301e43b00	Einsteck-Riegelschloss, PZ gelocht, Stulp 20x160 mm, Dorn 50 mm, Bever 286	Bever	Stulplänge: 160 mm | Stulpbreite: 20 mm | Anschlagrichtung: L / R | Stulpform: kantig | Lochung: Profilzylinder (PZ) | Dornmaß: 50 mm
0191fc32161670589ff9a8e4c644a4ce	Einsteck-Riegelschloss, PZ gelocht, Stulp 20x160 mm, Dorn 55 mm, Bever 286	Bever	Stulplänge: 160 mm | Stulpbreite: 20 mm | Anschlagrichtung: L / R | Stulpform: kantig | Lochung: Profilzylinder (PZ) | Dornmaß: 55 mm
0191fc31fd9673c39357d75c1c9e6061	Einsteck-Riegelschloss, PZ gelocht, Stulp 20x160 mm, Dorn 60 mm, Bever 286	Bever	Stulpform: kantig | Lochung: Profilzylinder (PZ) | Dornmaß: 60 mm | Stulplänge: 160 mm | Stulpbreite: 20 mm | Anschlagrichtung: L / R
0191fc31fcf3704a91c9624475a91f9b	Einsteck-Schiebetürschloss für Holztüren, Stulp 20x151 mm, Dorn 55 mm, Bever 138P55	Bever	Lochung: Profilzylinder (PZ) | Stulplänge: 151 mm | Stulpbreite: 20 mm | Dornmaß: 55 mm | Stulpform: kantig
0191fc31fcc873659c5e0dbeb6e9668c	Einsteckschloss mit Hakenfalle, Entfernung 72 mm, Dornmaß 35 mm, Stulp 24x243 mm	BMH	Stulpform: kantig | Vierkant / Nuss: 9 mm | Entfernung: 223 mm | Stulplänge: 243 mm | Stulpbreite: 24 mm | Dornmaß: 35 mm
0191fc32165b723987e3cc526edb6fe7	EURO Locks X58, inkl. 2 Schlüssel	Wilhelm Kessler	NULL
0191fc31fc9c702696f769761c391239	Flachschließblech für elektrische Türöffner	effeff ASSA ABLOY	NULL
0191fc31fe1a721690bfee9f2cfabff7	Garagenknebel abschließbar, Vierkant 60 mm, gleichschließend	Malte Block	NULL
0191fc3216317109b64dc5dc1cfbaf7f	GEZE Gleitstein für Normalgleitschiene	GEZE	NULL
0191fc32162b7237a23c8e4cb872715f	GEZE mechanische Feststelleinheit, für TS 3000/5000/5000 L	GEZE	NULL
0191fc31fe0a731bb2691b578adfaa2d	GEZE Montageplatte für Gleitschiene, silberfarbig EV1	GEZE	NULL
0191fc31fe0472a69fd8f09ff0b40e07	GEZE Montageplatte für Grundkörper von TS 3000, silberfarbig	GEZE	NULL
0191fc31fe0772d281975d0ecdb48234	GEZE Montageplatte für Grundkörper von TS 4000/5000/5000 L, silberfarbig	GEZE	NULL
0191fc31fd3d73f7aa95fbdb341d1efb	GEZE Obentürschließer TS 1500 mit Gestänge, silberfarbig EV1	GEZE	NULL
0191fc31fded738d85378d34ffba7734	GEZE Obentürschließer TS 5000 L, ohne Gleitschiene, silberfarbig EV1	GEZE	NULL
0191fc31fdf07009a7e0f2242d354640	GEZE Obentürschließer TS 5000 L, ohne Gleitschiene, weiß	GEZE	NULL
0191fc31fde670f4a73e0469c4baf512	GEZE Obentürschließer TS 5000, ohne Gleitschiene, silberfarbig EV1	GEZE	NULL
0191fc31fde97120a9d4acecd1823f44	GEZE Obentürschließer TS 5000, ohne Gleitschiene, weiß	GEZE	NULL
0191fc31fddc70d898bcd3c4f6e708aa	GEZE Standardgestänge silberfarbig EV1, für GEZE TS 2000/4000	GEZE	NULL
0191fc31fee170a8a660b859cda6605c	Glastür-Einsteckschloss BKS Nr. 00070271, PZ gelocht, 40/8/72 mm, 20x235 mm Stulp kantig, DIN links	BKS	NULL
0191fc31fee473938d0376451f80ee87	Glastür-Einsteckschloss BKS Nr. 00070272, PZ gelocht, 40/8/72 mm, 20x235 mm Stulp kantig, DIN rechts	BKS	NULL
0191fc32157a718b928d2dea0a39022a	Glastür-Einsteckschloss BKS Nr. 00071011, PZ gelocht, 30/8/72 mm, 20x235 mm Stulp kantig, DIN links	BKS	Stulpform: Flachstulp kantig | Lochung: Profilzylinder (PZ) | Dornmaß: 30 mm | Stulplänge: 235 mm | Stulpbreite: 20 mm | Anschlagrichtung: DIN L | Entfernung: 72 mm | Vierkant / Nuss: 8 mm
0191fc32157e7153bdf7ddab10ca4d37	Glastür-Einsteckschloss BKS Nr. 00071012, PZ gelocht, 30/8/72 mm, 20x235 mm Stulp kantig, DIN rechts	BKS	Stulplänge: 235 mm | Stulpbreite: 20 mm | Anschlagrichtung: DIN R | Entfernung: 72 mm | Vierkant / Nuss: 8 mm | Stulpform: Flachstulp kantig | Lochung: Profilzylinder (PZ) | Dornmaß: 30 mm
0191fc321586737a8bf52ccccf17d6c4	Glastür-Einsteckschloss BKS Nr. 00071013, PZ gelocht, 35/8/72 mm, 20x235 mm Stulp kantig, DIN links	BKS	Entfernung: 72 mm | Vierkant / Nuss: 8 mm | Stulpform: Flachstulp kantig | Lochung: Profilzylinder (PZ) | Dornmaß: 35 mm | Stulplänge: 235 mm | Stulpbreite: 20 mm | Anschlagrichtung: DIN L
